Time,Stock,Brd,Price,Qty,BT,BC,SC,m
14:40:26,INDF,RG,6375,18,F,ZP,AK,F
14:40:26,INDF,RG,6375,3,F,ZP,XC,D
14:40:26,INDF,RG,6375,9,F,ZP,YP,D
14:40:24,INDF,RG,6375,1,F,CS,YP,D
14:40:24,INDF,RG,6375,1,F,CS,YP,D
14:40:24,INDF,RG,6375,7,F,CS,YP,D
14:40:24,INDF,RG,6375,46,F,CS,YP,D
14:40:07,INDF,RG,6350,2,F,RX,LG,D
14:40:07,INDF,RG,6350,1,D,NI,LG,D
14:40:07,INDF,RG,6350,6,F,CS,LG,D
14:40:07,INDF,RG,6350,6,F,CS,LG,D
14:40:07,INDF,RG,6350,10,D,YP,LG,D
14:39:50,INDF,RG,6375,2,D,NI,YP,D
14:39:30,INDF,RG,6375,2,F,CS,YP,D
14:39:30,INDF,RG,6375,19,D,YU,YP,D
14:39:30,INDF,RG,6375,2,D,YU,PD,D
14:39:30,INDF,RG,6375,1,D,YU,XC,D
14:39:30,INDF,RG,6375,1,D,YU,PD,D
14:39:30,INDF,RG,6375,7,D,YU,XC,D
14:39:30,INDF,RG,6375,1,D,YU,YP,D
14:39:30,INDF,RG,6350,1,D,YU,AK,F
14:39:30,INDF,RG,6350,1,D,YU,DX,D
14:39:30,INDF,RG,6350,5,D,YU,AK,F
14:39:29,INDF,RG,6350,1,F,CS,AK,F
14:39:28,INDF,RG,6350,1,F,CS,AK,F
14:39:27,INDF,RG,6350,1,F,CS,AK,F
14:39:27,INDF,RG,6350,1,F,CS,AK,F
14:39:27,INDF,RG,6350,10,D,DH,AK,F
14:39:22,INDF,RG,6350,5,D,NI,AK,F
14:39:15,INDF,RG,6350,18,F,BK,AK,F
14:39:14,INDF,RG,6350,1,D,PD,AK,F
14:39:14,INDF,RG,6350,19,D,PD,ZP,F
14:39:13,INDF,RG,6350,7,D,YP,ZP,F
14:39:11,INDF,RG,6350,23,F,BK,ZP,F
14:39:09,INDF,RG,6350,100,D,YJ,ZP,F
14:39:05,INDF,RG,6350,39,F,BK,ZP,F
14:38:59,INDF,RG,6350,2,F,BK,ZP,F
14:38:59,INDF,RG,6350,32,F,BK,CC,D
14:38:59,INDF,RG,6350,47,F,BK,BB,D
14:38:59,INDF,RG,6350,1,F,BK,AK,F
14:38:59,INDF,RG,6350,147,F,BK,AK,F
14:38:58,INDF,RG,6350,4,D,YP,AK,F
14:38:56,INDF,RG,6350,113,F,ZP,AK,F
14:38:55,INDF,RG,6350,1,D,PD,AK,F
14:38:55,INDF,RG,6350,103,F,AK,AK,F
14:38:55,INDF,RG,6350,2,F,AK,PD,D
14:38:55,INDF,RG,6350,88,F,AK,BK,F
14:38:55,INDF,RG,6350,18,F,AK,ZP,F
14:38:55,INDF,RG,6350,84,F,AK,RX,D
14:38:55,INDF,RG,6350,1,F,AK,YP,D
14:38:55,INDF,RG,6350,156,F,AK,BK,F
14:38:55,INDF,RG,6350,48,F,AK,ZP,F
14:38:55,INDF,RG,6350,169,F,BK,ZP,F
14:38:54,INDF,RG,6350,500,F,AK,ZP,F
14:38:54,INDF,RG,6350,88,F,ZP,ZP,F
14:38:53,INDF,RG,6350,112,F,AK,ZP,F
14:38:53,INDF,RG,6350,112,F,AK,BK,F
14:38:53,INDF,RG,6350,213,F,AK,ZP,F
14:38:53,INDF,RG,6350,63,F,AK,AK,F
14:38:53,INDF,RG,6350,88,F,ZP,AK,F
14:38:52,INDF,RG,6350,217,F,AK,AK,F
14:38:52,INDF,RG,6350,3,F,AK,AK,F
14:38:52,INDF,RG,6350,280,F,AK,BB,D
14:38:52,INDF,RG,6350,10,F,DH,BB,D
14:38:51,INDF,RG,6350,77,F,ZP,BB,D
14:38:48,INDF,RG,6325,9,D,YP,BK,F
14:38:46,INDF,RG,6350,5,D,NI,BB,D
14:38:45,INDF,RG,6350,1,D,YP,BB,D
14:38:39,INDF,RG,6325,9,D,YP,BK,F
14:38:29,INDF,RG,6325,7,D,YP,BK,F
14:38:29,INDF,RG,6325,1,D,DR,BK,F
14:38:29,INDF,RG,6325,1,D,CC,BK,F
14:38:29,INDF,RG,6325,1,D,YP,BK,F
14:38:26,INDF,RG,6325,12,D,YP,RX,D
14:38:22,INDF,RG,6325,8,D,YP,BK,F
14:38:20,INDF,RG,6325,4,D,YP,ZP,F
14:38:20,INDF,RG,6325,1,D,PD,ZP,F
14:38:20,INDF,RG,6325,5,D,GR,ZP,F
14:38:20,INDF,RG,6325,10,D,PD,ZP,F
14:38:20,INDF,RG,6325,5,D,YP,ZP,F
14:38:20,INDF,RG,6325,2,D,NI,ZP,F
14:38:20,INDF,RG,6325,25,D,YP,ZP,F
14:38:20,INDF,RG,6325,1,D,YP,ZP,F
14:38:20,INDF,RG,6325,1,D,KK,ZP,F
14:38:20,INDF,RG,6325,10,D,KK,ZP,F
14:38:20,INDF,RG,6325,1,D,GR,ZP,F
14:38:20,INDF,RG,6325,5,D,AG,ZP,F
14:38:20,INDF,RG,6325,5,D,SQ,ZP,F
14:38:20,INDF,RG,6325,168,D,SQ,ZP,F
14:38:20,INDF,RG,6325,1,D,DH,ZP,F
14:38:20,INDF,RG,6325,1,D,PD,ZP,F
14:38:20,INDF,RG,6325,20,D,SQ,ZP,F
14:38:20,INDF,RG,6325,5,D,DH,ZP,F
14:38:20,INDF,RG,6325,2,D,CC,ZP,F
14:38:17,INDF,RG,6350,14,D,CP,BB,D
14:38:17,INDF,RG,6350,11,D,CP,ZP,F
14:38:17,INDF,RG,6350,1,D,CP,DX,D
14:38:17,INDF,RG,6350,52,D,CP,AK,F
14:38:14,INDF,RG,6350,10,D,DR,AK,F
14:38:10,INDF,RG,6350,10,D,CC,AK,F
14:38:01,INDF,RG,6350,1,D,YP,AK,F
14:37:35,INDF,RG,6350,2,D,YP,AK,F
14:37:29,INDF,RG,6350,1,D,NI,AK,F
14:37:11,INDF,RG,6350,47,F,ZP,AK,F
14:37:11,INDF,RG,6350,37,F,ZP,BK,F
14:37:10,INDF,RG,6325,18,D,CC,ZP,F
14:37:10,INDF,RG,6325,1,D,PD,ZP,F
14:37:10,INDF,RG,6325,137,D,YP,ZP,F
14:36:54,INDF,RG,6325,9,D,YP,RX,D
14:36:43,INDF,RG,6350,59,F,ZP,BK,F
14:36:43,INDF,RG,6350,19,F,ZP,BB,D
14:36:42,INDF,RG,6325,154,D,YP,ZP,F
14:36:42,INDF,RG,6325,2,D,PD,ZP,F
14:36:42,INDF,RG,6325,1,D,XC,ZP,F
14:36:42,INDF,RG,6325,1,D,XC,ZP,F
